LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_epicimage
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(IMAGEREF,VOLUMEID,ARCHIVEFLAG,IMAGEFILENAME)
Z0UST87YMZ32P7WW,VOL199901,N,Z0UST87YMZ32P7WW.JPG
ZDA5Y4M1IE7BZJRD,VOL199901,N,ZDA5Y4M1IE7BZJRD.JPG
DVT0CJ0QUGLR4FSP,VOL199901,N,DVT0CJ0QUGLR4FSP.JPG
R0TBD043S8PQHTE9,VOL199901,N,R0TBD043S8PQHTE9.JPG
OHU1L73SH592PS19,VOL199901,N,OHU1L73SH592PS19.JPG
WEL92K17AFN08828,VOL199901,N,WEL92K17AFN08828.JPG
VKZVS90K7AUDBVUE,VOL199901,N,VKZVS90K7AUDBVUE.JPG
Y1EPOF44M1ZLM4MR,VOL199901,N,Y1EPOF44M1ZLM4MR.JPG
P6IEWJRHVO92NF7E,VOL199901,N,P6IEWJRHVO92NF7E.JPG
YKOXGY5C0SBW0PDQ,VOL199901,N,YKOXGY5C0SBW0PDQ.JPG
PMPMIOOTA2J6SOV2,VOL199901,N,PMPMIOOTA2J6SOV2.JPG
T87M6VHXHCDBPWT1,VOL199901,N,T87M6VHXHCDBPWT1.JPG
X1E2P1R6RTO50ZWL,VOL199901,N,X1E2P1R6RTO50ZWL.JPG
U7F8XXM4PFB8IGTK,VOL199901,N,U7F8XXM4PFB8IGTK.JPG
FIGFASDOFR4MZBT1,VOL199901,N,FIGFASDOFR4MZBT1.JPG
KCP6YDD9BJ4GAE9M,VOL199901,N,KCP6YDD9BJ4GAE9M.JPG
W931P7S9AN0BR4MS,VOL199901,N,W931P7S9AN0BR4MS.JPG
UNNMWH2FCJGNQTLS,VOL199901,N,UNNMWH2FCJGNQTLS.JPG
AR6GD2TG32YA9YNK,VOL199901,N,AR6GD2TG32YA9YNK.JPG
B5EEOOAZB8B9X9YV,VOL199901,N,B5EEOOAZB8B9X9YV.JPG
IRB8U4DCYU3ORUPR,VOL199901,N,IRB8U4DCYU3ORUPR.JPG
X17NDAVI59DXOYAC,VOL199901,N,X17NDAVI59DXOYAC.JPG
LT5WI9YYTQGLLZ2P,VOL199901,N,LT5WI9YYTQGLLZ2P.JPG
L7CX0SFIUA6SF1AI,VOL199901,N,L7CX0SFIUA6SF1AI.JPG
C9PPATYU5IK9VXBC,VOL199901,N,C9PPATYU5IK9VXBC.JPG
D8VJTL88DJMZL9EC,VOL199901,N,D8VJTL88DJMZL9EC.JPG
K0DVXSF0LUEBKX0Y,VOL199901,N,K0DVXSF0LUEBKX0Y.JPG
QRVZFH0NM11K3U3P,VOL199901,N,QRVZFH0NM11K3U3P.JPG
XXIUSB3N73OXWMI5,VOL199901,N,XXIUSB3N73OXWMI5.JPG
U8J3Y99TQJ4BGXJM,VOL199901,N,U8J3Y99TQJ4BGXJM.JPG
K10UYQH979T5K4NF,VOL199901,N,K10UYQH979T5K4NF.JPG
BOT80SPS955UP90F,VOL199901,N,BOT80SPS955UP90F.JPG
FIRZP7GGEQHWOW1T,VOL199901,N,FIRZP7GGEQHWOW1T.JPG
H98QIUFLY8L39AOK,VOL199901,N,H98QIUFLY8L39AOK.JPG
A6OO9GQXVKODZLRA,VOL199901,N,A6OO9GQXVKODZLRA.JPG
LMWPZFBKI7LVLXTL,VOL199901,N,LMWPZFBKI7LVLXTL.JPG
EDTIB8ERC2UA2JW4,VOL199901,N,EDTIB8ERC2UA2JW4.JPG
NKLC9O1LLQJ29D6L,VOL199901,N,NKLC9O1LLQJ29D6L.JPG
K5GL7S4WYT7HS76X,VOL199901,N,K5GL7S4WYT7HS76X.JPG
D9ZHOOHRQUT8S2YD,VOL199901,N,D9ZHOOHRQUT8S2YD.JPG
F8NP8RKN3GRCU84Y,VOL199901,N,F8NP8RKN3GRCU84Y.JPG
XKM2TCBN9A5PFXZ9,VOL199901,N,XKM2TCBN9A5PFXZ9.JPG
E2GXF5MRVNQ9J6YJ,VOL199901,N,E2GXF5MRVNQ9J6YJ.JPG
SA64437UVMPWDX8H,VOL199901,N,SA64437UVMPWDX8H.JPG
D16ZZYILI2COO2Z4,VOL199901,N,D16ZZYILI2COO2Z4.JPG
YT7R0PLASZO6ZYH9,VOL199901,N,YT7R0PLASZO6ZYH9.JPG
KRLX1B5LZAXBH6X8,VOL199901,N,KRLX1B5LZAXBH6X8.JPG
TRYYLU5JB8YFCOIC,VOL199901,N,TRYYLU5JB8YFCOIC.JPG
KRSWPRX2M2ELLXF9,VOL199901,N,KRSWPRX2M2ELLXF9.JPG
NGXB9Z4BLTA7HKNN,VOL199901,N,NGXB9Z4BLTA7HKNN.JPG
LEDGQZ3YW6DTXO6P,VOL199901,N,LEDGQZ3YW6DTXO6P.JPG
VQM05B4K1ZE2L1WN,VOL199901,N,VQM05B4K1ZE2L1WN.JPG
KJF44LWF13SW8DK5,VOL199901,N,KJF44LWF13SW8DK5.JPG
LRVUK27ZGO9SL8T5,VOL199901,N,LRVUK27ZGO9SL8T5.JPG
KMA6TNY6K4HUBJAL,VOL199901,N,KMA6TNY6K4HUBJAL.JPG
MREPC5Z85RJWLJRC,VOL199901,N,MREPC5Z85RJWLJRC.JPG
AV2OMDJ3UHQ3TMS8,VOL199901,N,AV2OMDJ3UHQ3TMS8.JPG
WO1SLJAFT1T34H0B,VOL199901,N,WO1SLJAFT1T34H0B.JPG
FR3RY1DUUFLIZJBK,VOL199901,N,FR3RY1DUUFLIZJBK.JPG
IKU94OAGWWHD735D,VOL199901,N,IKU94OAGWWHD735D.JPG
RD2ZRHY6TH40K9HR,VOL199901,N,RD2ZRHY6TH40K9HR.JPG
HZWQXHHUPR4M93JJ,VOL199901,N,HZWQXHHUPR4M93JJ.JPG
RAHO9401UFEI58CQ,VOL199901,N,RAHO9401UFEI58CQ.JPG
QZ6SN56RDAE1FO05,VOL199901,N,QZ6SN56RDAE1FO05.JPG
LKLTLVT5UEZQY525,VOL199901,N,LKLTLVT5UEZQY525.JPG
EAE37W05B2G00M6F,VOL199901,N,EAE37W05B2G00M6F.JPG
