LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_eh_nist_mugshot
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(PHOTO_ID,IMAGE_POSE,POSE_OFFSET_ANGLE,GLASSES_FLAG,HAT_FLAG,SCARF_FLAG,PHYSICAL_FLAG,OTHER_FLAG,DESCRIPTION,ACTION_TYPE,ACTION_TIME,ACTION_BY)
KUI43IWOBPO305UN,SIDE,L90,N,N,N,N,N,,I,1999010602:10:00-480,-900
MWT7626EPRN08JUY,FRONT,F0,N,N,N,N,N,,I,1999010602:11:22-480,-900
ZKNT13YFELK1X3HS,SIDE,L90,N,N,N,N,N,,I,1999010602:11:36-480,-900
SFFBM5X1LNYNWGEB,FRONT,F0,N,N,N,N,N,,I,1999010602:14:56-480,-900
PBLYKF7G0HK6YITP,SIDE,L90,N,N,N,N,N,,I,1999010602:15:06-480,-900
Z5UCRS5D3IVKC7M9,FRONT,F0,N,N,N,N,N,,I,1999010602:15:56-480,-900
H5BPPQ92DIAUBQCP,SIDE,L90,N,N,N,N,N,,I,1999010602:16:06-480,-900
B1QUEAOKSEOTOJJ6,FRONT,F0,N,N,N,N,N,,I,1999010602:18:28-480,-900
WDZWG4Y7SBVD7SFL,SIDE,L90,N,N,N,N,N,,I,1999010602:18:50-480,-900
X7NW7BPW0U0SVPJR,FRONT,F0,N,N,N,N,N,,I,1999010604:57:52-480,-900
DKCO8UHTTD7QZR75,SIDE,L90,N,N,N,N,N,,I,1999010604:58:06-480,-900
Z0UST87YMZ32P7WW,FRONT,F0,N,N,N,N,N,,I,1999010604:59:10-480,-900
ZDA5Y4M1IE7BZJRD,SIDE,L90,N,N,N,N,N,,I,1999010604:59:36-480,-900
DVT0CJ0QUGLR4FSP,FRONT,F0,N,N,N,N,N,,I,1999010605:04:52-480,-900
R0TBD043S8PQHTE9,SIDE,L90,N,N,N,N,N,,I,1999010605:05:02-480,-900
OHU1L73SH592PS19,FRONT,F0,N,N,N,N,N,,I,1999010605:05:58-480,-900
WEL92K17AFN08828,SIDE,L90,N,N,N,N,N,,I,1999010605:06:10-480,-900
VKZVS90K7AUDBVUE,FRONT,F0,N,N,N,N,N,,I,1999010605:12:08-480,-900
Y1EPOF44M1ZLM4MR,SIDE,L90,N,N,N,N,N,,I,1999010605:12:22-480,-900
P6IEWJRHVO92NF7E,FRONT,F0,N,N,N,N,N,,I,1999010605:22:02-480,-900
YKOXGY5C0SBW0PDQ,SIDE,L90,N,N,N,N,N,,I,1999010605:22:16-480,-900
PMPMIOOTA2J6SOV2,FRONT,F0,N,N,N,N,N,,I,1999010605:24:16-480,-900
T87M6VHXHCDBPWT1,SIDE,L90,N,N,N,N,N,,I,1999010605:24:28-480,-900
X1E2P1R6RTO50ZWL,FRONT,F0,N,N,N,N,N,,I,1999010605:30:42-480,-900
U7F8XXM4PFB8IGTK,SIDE,L90,N,N,N,N,N,,I,1999010605:30:56-480,-900
FIGFASDOFR4MZBT1,FRONT,F0,N,N,N,N,N,,I,1999010605:35:40-480,-900
KCP6YDD9BJ4GAE9M,SIDE,L90,N,N,N,N,N,,I,1999010605:35:56-480,-900
W931P7S9AN0BR4MS,FRONT,F0,N,N,N,N,N,,I,1999010605:52:14-480,-900
UNNMWH2FCJGNQTLS,SIDE,L90,N,N,N,N,N,,I,1999010605:52:26-480,-900
AR6GD2TG32YA9YNK,FRONT,F0,N,N,N,N,N,,I,1999010606:18:08-480,-900
B5EEOOAZB8B9X9YV,SIDE,L90,N,N,N,N,N,,I,1999010606:18:18-480,-900
IRB8U4DCYU3ORUPR,FRONT,F0,N,N,N,N,N,,I,1999010611:47:40-480,-900
X17NDAVI59DXOYAC,SIDE,L90,N,N,N,N,N,,I,1999010611:48:06-480,-900
LT5WI9YYTQGLLZ2P,FRONT,F0,N,N,N,N,N,,I,1999010618:54:42-480,-900
L7CX0SFIUA6SF1AI,SIDE,L90,N,N,N,N,N,,I,1999010618:54:58-480,-900
C9PPATYU5IK9VXBC,FRONT,F0,N,N,N,N,N,,I,1999010619:38:36-480,-900
D8VJTL88DJMZL9EC,SIDE,L90,N,N,N,N,N,,I,1999010619:39:00-480,-900
K0DVXSF0LUEBKX0Y,FRONT,F0,N,N,N,N,N,,I,1999010619:50:06-480,-900
QRVZFH0NM11K3U3P,SIDE,L90,N,N,N,N,N,,I,1999010619:50:24-480,-900
XXIUSB3N73OXWMI5,FRONT,F0,N,N,N,N,N,,I,1999010619:54:24-480,-900
U8J3Y99TQJ4BGXJM,SIDE,L90,N,N,N,N,N,,I,1999010619:54:40-480,-900
K10UYQH979T5K4NF,FRONT,F0,N,N,N,N,N,,I,1999010620:38:12-480,-900
BOT80SPS955UP90F,SIDE,L90,N,N,N,N,N,,I,1999010620:38:28-480,-900
FIRZP7GGEQHWOW1T,FRONT,F0,N,N,N,N,N,,I,1999010620:39:44-480,-900
H98QIUFLY8L39AOK,SIDE,L90,N,N,N,N,N,,I,1999010620:39:58-480,-900
A6OO9GQXVKODZLRA,FRONT,F0,N,N,N,N,N,,I,1999010620:43:40-480,-900
LMWPZFBKI7LVLXTL,SIDE,L90,N,N,N,N,N,,I,1999010620:43:54-480,-900
EDTIB8ERC2UA2JW4,FRONT,F0,N,N,N,N,N,,I,1999010620:45:42-480,-900
NKLC9O1LLQJ29D6L,SIDE,L90,N,N,N,N,N,,I,1999010620:45:54-480,-900
K5GL7S4WYT7HS76X,FRONT,F0,N,N,N,N,N,,I,1999010622:08:14-480,-900
D9ZHOOHRQUT8S2YD,SIDE,L90,N,N,N,N,N,,I,1999010622:08:30-480,-900
F8NP8RKN3GRCU84Y,FRONT,F0,N,N,N,N,N,,I,1999010622:12:22-480,-900
XKM2TCBN9A5PFXZ9,SIDE,L90,N,N,N,N,N,,I,1999010622:12:42-480,-900
E2GXF5MRVNQ9J6YJ,FRONT,F0,N,N,N,N,N,,I,1999010622:23:52-480,-900
SA64437UVMPWDX8H,SIDE,L90,N,N,N,N,N,,I,1999010622:24:04-480,-900
D16ZZYILI2COO2Z4,FRONT,F0,N,N,N,N,N,,I,1999010701:37:58-480,-900
YT7R0PLASZO6ZYH9,SIDE,L90,N,N,N,N,N,,I,1999010701:38:18-480,-900
