LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_eh_entity_default_photo
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(ENTITY_ID,PHOTO_ID,ACTION_TYPE,ACTION_TIME,ACTION_BY)
BEGINDATA
0IHUM2U000X22MIG,Y5WWCPVVKEPQHECK,I,1999010804:40:24-480,-900
0IHUXQ81A0XD7MIG,U2AJOENC2MM69CW2,I,1999010804:54:02-480,-900
0IHULND1V0XD3MIG,SX0QAT0Q3M295ROP,I,1999010804:54:52-480,-900
0IHVNEI2S0X83MIG,VZF2APVF6ZLQHFSZ,I,1999010804:57:30-480,-900
0IHUN461P0XD7MIG,KR070BT50CBF8S8X,I,1999010804:58:28-480,-900
0IHUOVJ000XD3MIG,TTLX7PWHTDSA6RPA,I,1999010806:05:18-480,-900
0IHV4SH1V0XD1MIG,VAGK3YA7SIG49VTK,I,1999010806:07:10-480,-900
0IHUQS4090XD3MIG,MA9CDL74X2E5OZIA,I,1999010806:14:04-480,-900
0IHUWCS2X0XD3MIG,IIAHE4JZ8T7NS3Y3,I,1999010806:29:18-480,-900
0IHUTCX2F0XD3MIG,VGDRHJLSLFFDHWRG,I,1999010806:30:18-480,-900
0IHUWCY000XD3MIG,NOL11C1NXU71TRCH,I,1999010806:31:00-480,-900
0IHUWCZ000XD3MIG,LIQDZ5QOWIPKWFOP,I,1999010806:36:04-480,-900
0IHV11R000XD2MIG,NV8HM1EQ0D3QJKT9,I,1999010818:11:24-480,-900
0IHUWDA2X0XD3MIG,I6VURPXMOHJMQ3ID,I,1999010818:13:48-480,-900
0IHULTB1J0X23MIG,GWB0MRPPIY7QW6JL,I,1999010818:54:04-480,-900
0IHVFMA000X51MIG,E853M2FXJA2CE445,I,1999010820:16:42-480,-900
0IHUJTB250XD2MIG,WHRSOCYJ8I5O93B3,I,1999010820:40:02-480,-900
0IHUWDD000XD3MIG,BY42M7OQ748HLIWM,I,1999010822:30:58-480,-900
0IHUWDE060XD3MIG,YKLZZZ2W76QQUMXR,I,1999010822:33:14-480,-900
0IHVNG9U60X83MIG,DJJE2O1B38PQCR32,I,1999010822:36:04-480,-900
0IHUK0A3D0XD2MIG,P91YF8X72AKOQX2H,I,1999010822:45:40-480,-900
0IHUWDH000XD3MIG,X2O293SI7OQ1R40O,I,1999010822:51:58-480,-900
